Date,Adj Close
2005-01-01,13.91
2005-01-08,14.17
2005-01-15,14.13
2005-01-22,14.46
2005-01-29,14.97
2005-02-05,14.96
2005-02-12,14.92
2005-02-19,15.05
2005-02-26,15.28
2005-03-05,15.05
2005-03-12,15.0
2005-03-19,14.89
2005-03-26,15.16
2005-04-02,15.26
2005-04-09,15.04
2005-04-16,15.4
2005-04-23,15.58
2005-04-30,15.46
2005-05-07,15.12
2005-05-14,15.48
2005-05-21,15.57
2005-05-28,15.8
2005-06-04,15.92
2005-06-11,16.0
2005-06-18,16.26
2005-06-25,16.64
2005-07-02,16.72
2005-07-09,16.73
2005-07-16,16.62
2005-07-23,16.86
2005-07-30,16.67
2005-08-06,16.59
2005-08-13,16.53
2005-08-20,16.8
2005-08-27,17.24
2005-09-03,17.47
2005-09-10,17.55
2005-09-17,17.21
2005-09-24,17.69
2005-10-01,16.99
2005-10-08,16.25
2005-10-15,15.98
2005-10-22,16.35
2005-10-29,16.26
2005-11-05,16.13
2005-11-12,16.41
2005-11-19,16.72
2005-11-26,16.62
2005-12-03,16.85
2005-12-10,17.01
2005-12-17,16.91
2005-12-24,16.67
2005-12-31,17.09
2006-01-07,17.1
2006-01-14,17.37
2006-01-21,17.2
2006-01-28,16.82
2006-02-04,16.88
2006-02-11,17.16
2006-02-18,17.28
2006-02-25,17.16
2006-03-04,16.84
2006-03-11,17.08
2006-03-18,16.85
2006-03-25,16.5
2006-04-01,16.41
2006-04-08,16.18
2006-04-15,16.72
2006-04-22,16.76
2006-04-29,17.22
2006-05-06,16.73
2006-05-13,16.64
2006-05-20,16.93
2006-05-27,17.41
2006-06-03,17.38
2006-06-10,17.18
2006-06-17,17.09
2006-06-24,17.42
2006-07-01,17.54
2006-07-08,17.62
2006-07-15,18.06
2006-07-22,18.34
2006-07-29,18.39
2006-08-05,18.28
2006-08-12,18.53
2006-08-19,18.52
2006-08-26,18.78
2006-09-02,18.54
2006-09-09,18.2
2006-09-16,18.25
2006-09-23,18.49
2006-09-30,18.62
2006-10-07,18.8
2006-10-14,19.37
2006-10-21,19.46
2006-10-28,19.36
2006-11-04,19.53
2006-11-11,19.61
2006-11-18,19.69
2006-11-25,19.98
2006-12-02,20.0
2006-12-09,20.1
2006-12-16,20.07
2006-12-23,20.16
2006-12-30,19.82
2007-01-06,19.69
2007-01-13,19.79
2007-01-20,19.9
2007-01-27,20.37
2007-02-03,20.88
2007-02-10,20.99
2007-02-17,21.23
2007-02-24,20.89
2007-03-03,20.97
2007-03-10,21.08
2007-03-17,21.99
2007-03-24,21.91
2007-03-31,22.46
2007-04-07,22.47
2007-04-14,22.94
2007-04-21,23.08
2007-04-28,23.23
2007-05-05,23.29
2007-05-12,23.64
2007-05-19,22.68
2007-05-26,22.96
2007-06-02,21.68
2007-06-09,22.32
2007-06-16,21.51
2007-06-23,22.0
2007-06-30,22.15
2007-07-07,22.65
2007-07-14,22.62
2007-07-21,20.87
2007-07-28,21.09
2007-08-04,21.68
2007-08-11,21.47
2007-08-18,22.01
2007-08-25,21.45
2007-09-01,21.68
2007-09-08,22.06
2007-09-15,22.41
2007-09-22,22.27
2007-09-29,22.89
2007-10-06,23.11
2007-10-13,22.24
2007-10-20,23.25
2007-10-27,23.46
2007-11-03,23.47
2007-11-10,23.33
2007-11-17,23.46
2007-11-24,23.91
2007-12-01,24.72
2007-12-08,24.17
2007-12-15,24.06
2007-12-22,24.2
2007-12-29,23.88
2008-01-05,24.49
2008-01-12,22.57
2008-01-19,21.53
2008-01-26,22.69
2008-02-02,21.99
2008-02-09,22.47
2008-02-16,22.23
2008-02-23,21.21
2008-03-01,21.26
2008-03-08,21.37
2008-03-15,21.12
2008-03-22,21.37
2008-03-29,22.25
2008-04-05,22.3
2008-04-12,23.11
2008-04-19,22.91
2008-04-26,23.3
2008-05-03,22.74
2008-05-10,23.16
2008-05-17,23.24
2008-05-24,23.46
2008-05-31,23.03
2008-06-07,23.45
2008-06-14,23.1
2008-06-21,22.73
2008-06-28,23.1
2008-07-05,23.15
2008-07-12,22.05
2008-07-19,21.52
2008-07-26,21.17
2008-08-02,21.27
2008-08-09,21.14
2008-08-16,21.66
2008-08-23,21.55
2008-08-30,20.25
2008-09-06,20.87
2008-09-13,20.03
2008-09-20,19.93
2008-09-27,18.54
2008-10-04,14.87
2008-10-11,15.82
2008-10-18,15.86
2008-10-25,16.69
2008-11-01,16.77
2008-11-08,16.62
2008-11-15,16.64
2008-11-22,17.39
2008-11-29,16.43
2008-12-06,16.68
2008-12-13,16.5
2008-12-20,16.41
2008-12-27,17.37
2009-01-03,17.0
2009-01-10,16.89
2009-01-17,16.82
2009-01-24,16.94
2009-01-31,17.47
2009-02-07,16.58
2009-02-14,15.34
2009-02-21,14.82
2009-02-28,13.55
2009-03-07,13.81
2009-03-14,14.82
2009-03-21,15.25
2009-03-28,15.45
2009-04-04,15.41
2009-04-11,15.24
2009-04-18,14.99
2009-04-25,15.68
2009-05-02,16.1
2009-05-09,15.33
2009-05-16,15.27
2009-05-23,15.82
2009-05-30,16.03
2009-06-06,16.65
2009-06-13,16.23
2009-06-20,16.58
2009-06-27,16.4
2009-07-04,16.09
2009-07-11,16.75
2009-07-18,17.67
2009-07-25,17.3
2009-08-01,17.29
2009-08-08,17.36
2009-08-15,17.76
2009-08-22,17.62
2009-08-29,17.29
2009-09-05,17.3
2009-09-12,17.74
2009-09-19,17.63
2009-09-26,17.22
2009-10-03,17.66
2009-10-10,17.93
2009-10-17,17.77
2009-10-24,17.14
2009-10-31,17.46
2009-11-07,17.73
2009-11-14,17.66
2009-11-21,17.82
2009-11-28,18.5
2009-12-05,19.22
2009-12-12,18.93
2009-12-19,19.24
2009-12-26,18.96
